Trip,Period,Month,Collection date,Year,Rodent ID,Host Species,Sex,Body Weight (g),Tested chigger,OT positive chigger,OT positive chigger-no. sample,RT positive chigger,RT positive chigger-no samples,Rodent ID,Tested samples,Sero-STG,Sero-STG,Sero-MT,Sero-MT,Sero-SFG,Sero-SFG,Sero-STG only,Sero-MTG only,Sero-SFG only,Sero-STG+MT,Sero-STG+SFG,Sero-MT+SFG,Scrub typhus qPCR,Type of tissue,Genotype,Rickett qPCR,Type of tissue,Genotype,Project,Province,District,Tumbon,MuBaan,Moo,Coordinate,Latitude,Longitude,Note,Rodent with chigger,Number of chigger,Leptotrombidium,Scheogastia,Ascoscheogastia,Gahrliepia (Walchia),Blankaartia,Helenicula,trombiculindus,Microtrombicula,Eutrombicula,Lorillatum,Flea,Tick,Mange mite,Lice,Other  mite,Note,Tick stock
74,Jan-Mar,1,25-Jan-23,2023,LS0282,Menetes berdmorei,F,168,,,,,,LS0282,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,1,,,,,,
74,Jan-Mar,1,25-Jan-23,2023,LS0283,Menetes berdmorei,F,167,,,,,,LS0283,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10145 101.75634,13.10145,101.75634,Near Wat Khlong Nam Yen,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,26-Jan-23,2023,LS0284,Rattus tanezumi,F,136,,,,,,LS0284,1,1:200,1,N,,N,,1,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,2,,,2,,,,,,,,,,,,,,
74,Jan-Mar,1,26-Jan-23,2023,LS0285,Rattus tanezumi,M,143,,,,,,LS0285,1,N,,N,,1:400,1,,,1,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,21,,,,21,,,,,,,,,,,,,
74,Jan-Mar,1,26-Jan-23,2023,LS0286,Rattus tanezumi,M,130,,,,,,LS0286,1,N,,N,,1:200,1,,,1,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,16,1,,3,12,,,,,,,,,,,,,
74,Jan-Mar,1,26-Jan-23,2023,LS0287,Rattus tanezumi,F,120,,,,,,LS0287,1,N,,N,,1:200,1,,,1,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,3,3,,,,,,,,,,,,,,,,
74,Jan-Mar,1,26-Jan-23,2023,LS0288,Rattus tanezumi,M,53,,,,,,LS0288,1,N,,N,,1:400,1,,,1,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,14,14,,,,,,,,,,,,,,,,
74,Jan-Mar,1,26-Jan-23,2023,LS0289,Maxomys surifer,M,145,,,,,,LS0289,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,1,,
74,Jan-Mar,1,26-Jan-23,2023,LS0290,Berylmys berdmorei,M,227,,,,,,LS0290,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,26-Jan-23,2023,LS0291,Tupaia belangeri,M,164,,,,,,LS0291,,,,,,,,,,,,,,,,,,,,CBG23,Chanthaburi,Kaenghangmaeo,Phawa,Ban Bo Faimai School,4,13.10211 101.75480,13.10211,101.7548,Ban Bo Faimai School,1,36,36,,,,,,,,,,,,,,,,
74,Jan-Mar,1,27-Jan-23,2023,LS0292,Bandicota indica,F,104,,,,,,LS0292,1,N,,N,,1:400,1,,,1,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,27-Jan-23,2023,LS0293,Bandicota savilei,M,192,,,,,,LS0293,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 43.25 E 101 20 25.29,12.978681,101.340358,Ban Mor Mui School,1,3,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,27-Jan-23,2023,LS0294,Rattus tanezumi,F,70,,,,,,LS0294,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 07.61 E 101 20 52.56,12.968781,101.347933,Near Ban Mor Mui School,1,124,9,,,115,,,,,,,,,,,,,
74,Jan-Mar,1,27-Jan-23,2023,LS0295,Rattus tanezumi,M,158,,,,,,LS0295,1,"1:1,600",1,N,,N,,1,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 07.61 E 101 20 52.56,12.968781,101.347933,Near Ban Mor Mui School,1,20,1,,,19,,,,,,,,,,,,,
74,Jan-Mar,1,27-Jan-23,2023,LS0296,Berylmys berdmorei,M,189,,,,,,LS0296,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 07.61 E 101 20 52.56,12.968781,101.347933,Near Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,27-Jan-23,2023,LS0297,Berylmys berdmorei,M,234,,,,,,LS0297,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 07.61 E 101 20 52.56,12.968781,101.347933,Near Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
74,Jan-Mar,1,24-Jan-23,2023,LS0298,Bandicota indica,F,137,,,,,,LS0298,1,N,,N,,N,,,,,,,,,,,,,,CBG23,Rayong,Pluak Daeng,Lahan,Ban Mor Mui School,4,N 12 58 07.61 E 101 20 52.56,12.968781,101.347933,Near Ban Mor Mui School,,,,,,,,,,,,,,,,,,,
